"조","순서","유물명","카테고리","공식 시대","소장품번호","공식 전시위치","위치확인","CSV 원본행","미션","공식 출처","사진 출처","비고"
"1조","11","금동반가사유상","삼국·가야","한국 - 삼국","덕수3200","불교조각","공식 페이지에 전시위치 기재 · 행사일 재확인","14","뺨에 댄 손과 다리의 자세를 살펴보세요. 다른 반가사유상과는 소장품번호로 구별하세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1248","https://www.museum.go.kr/relic_image//PS01001001/duk003/2017/0511150532094/700/duk003200-00-10.jpg","서로 다른 소장품번호의 반가사유상. 사유의 방 전시품이라고 단정하지 않으며, 현장 전시 여부 확인 필요."
"1조","12","감산사 석조미륵보살입상","통일신라","한국 - 통일신라","본관1958","불교조각","공식 페이지에 전시위치 기재 · 행사일 재확인","4","머리 장식과 몸의 장신구를 관찰하고 아미타불과 다른 점을 한 가지 기록하세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=348","https://www.museum.go.kr/relic_image//PS01001001/bon001/2016/1124093013018/700/bon001958-000-0001.jpg",""
"1조","13","감산사 석조아미타불입상","통일신라","한국 - 통일신라","본관1959","불교조각","공식 페이지에 전시위치 기재 · 행사일 재확인","5","옷주름이 흐르는 방향을 따라가 보세요. 돌로 만든 옷이 어떻게 느껴지나요?","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=349","https://www.museum.go.kr/relic_image//PS01001001/bon001/2017/0508160735009/700/bon001959-00-01.jpg",""
"1조","14","금동 약사불 입상","통일신라","한국 - 통일신라 (공식 설명 기준)","본관324","불교조각","공식 페이지에 전시위치 기재 · 행사일 재확인","30","부처가 손에 든 작은 약합을 찾아보고, 양손의 자세를 설명해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=335","https://www.museum.go.kr/relic_image//PS01001001/bon000/2019/0925124432236/700/bon000324-000-90000.jpg",""
"1조","15","청자 투각 칠보무늬 향로","고려","한국 - 고려","덕수2990","","공식 전시위치 미기재 · 행사일 확인 필요","13","뚜껑의 뚫린 무늬와 아래쪽 받침을 살펴보세요. 향은 어디로 나올까요?","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1227","https://www.museum.go.kr/relic_image//PS01001001/duk002/2017/0511150532094/700/duk002990-00-01.jpg",""
"1조","16","법화경 그림","고려","한국 - 고려","덕수2466","","공식 전시위치 미기재 · 행사일 확인 필요","15","화면에서 가장 크게 그린 인물을 찾고, 주변 인물과 크기를 비교해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1171","https://www.museum.go.kr/relic_image//PS01001001/duk002/2017/0511143434163/700/duk002466-00-00.jpg",""
"1조","17","청동 은입사 물가풍경무늬 정병","고려","한국 - 고려","본관2426","","공식 전시위치 미기재 · 행사일 확인 필요","21/34","병 표면에서 물가의 나무와 새를 찾아보세요. 무늬의 색이 몸체와 어떻게 다른가요?","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=372","https://www.museum.go.kr/relic_image//PS01001001/bon002/2016/1124093013018/700/bon002426-000-0001.jpg",""
"1조","18","청자 투각 연꽃 넝쿨 무늬 붓꽂이","고려","한국 - 고려","덕수1167","","공식 전시위치 미기재 · 행사일 확인 필요","23","붓꽂이의 뚫린 부분을 따라가며 연꽃과 넝쿨 모양을 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=7153","https://www.museum.go.kr/relic_image//PS01001001/duk001/2016/1123173124470/700/duk001167-000-0001.jpg",""
"1조","19","태자사 낭공대사 비석","고려","한국 - 고려 954년 (큐레이터 설명 기준)","본관6754","서화","공식 페이지에 전시위치 기재 · 행사일 재확인","28","비석의 글씨를 관찰하세요. 여러 글씨를 모아 하나의 문장을 만든 방식을 상상해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=4360","https://www.museum.go.kr/relic_image//PS01001001/bon006/2016/1124093013018/700/bon006754-000-0001.jpg",""
"1조","20","나전 칠 연꽃 넝쿨 무늬 상자","조선","한국 - 조선","덕수4128","","공식 전시위치 미기재 · 행사일 확인 필요","7","상자 표면에서 빛에 따라 달라 보이는 자개와 이어지는 넝쿨을 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1332","https://www.museum.go.kr/relic_image//PS01001001/duk000/2019/0925183505138/700/duk004128-000-90000.jpg",""
"1조","21","서직수 초상","조선","한국 - 조선","덕수5688","","공식 전시위치 미기재 · 행사일 확인 필요","9","얼굴과 옷을 비교해 보세요. 인물의 성격을 짐작하게 하는 표현은 무엇인가요?","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1434","https://www.museum.go.kr/relic_image//PS01001001/duk005/2017/0512090608004/700/duk005688-00-01.jpg",""
"1조","22","분청사기 상감 구름 용무늬 항아리","조선","한국 - 조선","덕수2411","도자공예-분청사기-백자","공식 페이지에 전시위치 기재 · 행사일 재확인","16/24","구름무늬 사이에서 용의 몸이 이어지는 방향을 따라가 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1160","https://www.museum.go.kr/relic_image//PS01001001/duk002/2016/1018103407181/700/duk002411-00.jpg",""
"1조","23","백자 달항아리","조선","한국 - 조선","접수702","도자공예-분청사기-백자","공식 페이지에 전시위치 기재 · 행사일 재확인","18/39","왼쪽과 오른쪽 곡선을 비교해 보세요. 달항아리가 주는 느낌을 한 단어로 적어보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=941","https://www.museum.go.kr/relic_image//PS01001001/jub000/2017/0508100233810/700/jub000702-00-00.jpg",""
"1조","24","대동여지도","조선","한국 - 시대미상","건희3946","","공식 전시위치 미기재 · 행사일 확인 필요","19","산줄기와 물줄기, 지명을 찾아보세요. 이 소장본의 제작시대는 공식 정보에 시대미상으로 기재되어 있습니다.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=36552143","https://www.museum.go.kr/relic_image//PS01001001/lkh000/2024/1220160241872/700/lkh003946-000-90000.jpg","제작시대는 공식 기록상 시대미상. 조선 지도 문화를 다루는 주제로 배정했으며, 이 소장본을 조선시대 제작품으로 단정하지 않음."
"1조","25","백자 청화 구름 용무늬 접시","조선","한국 - 조선","동원103","","공식 전시위치 미기재 · 행사일 확인 필요","25","접시 표면의 푸른 선에서 용의 얼굴과 구름을 구별해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=8839","https://www.museum.go.kr/relic_image//PS01001001/don000/2017/0510140552371/700/don000103-00-00.jpg",""
"1조","26","봉사조선창화시권","조선","한국 - 조선","신수14149","조선2","공식 페이지에 전시위치 기재 · 행사일 재확인","26","두루마리의 글씨와 화면 구성을 살펴보고, 오늘의 만남을 한 줄로 남겨보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2318","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2019/0925113301881/700/ssu014149-000-90000.jpg",""
"1조","27","국새 칙명지보","근대·대한제국","한국 - 대한제국","신수241","대한제국","공식 페이지에 전시위치 기재 · 행사일 재확인","3","도장 손잡이에서 용을 찾아보세요. 도장이 오늘날의 어떤 도구와 닮았는지 이야기해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1921","https://www.museum.go.kr/relic_image//PS01001001/ssu01/700/ssu00241 .jpg","CSV 3행의 링크는 아미타불을 가리켜 사용할 수 없음. 황제 인장 주제의 대표 유물로 칙명지보(신수241)를 선정. 원래 의도한 인장인지는 운영자 확인 필요."
"1조","28","창조신 복희와 여와","세계","중앙아시아 · 투루판 (공식 설명 기준)","본관4178","","공식 전시위치 미기재 · 행사일 확인 필요","11","서로 마주 보는 두 인물을 살펴보고 그림에 남아 있는 부분과 사라진 부분을 구별해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=188707","https://www.museum.go.kr/relic_image//PS01001001/bon000/2019/0925132803080/700/bon004178-000-90000.jpg",""
"1조","29","녹유전각","세계","중국 - 후한","구9370","중국","공식 페이지에 전시위치 기재 · 행사일 재확인","20","녹색 유약을 입힌 건물에서 지붕과 출입구를 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=31973","https://www.museum.go.kr/relic_image//PS01001001/koo000/2020/0115105403561/700/koo009370-000-90000.jpg",""
"1조","30","도사 미츠오키 필 겐지모노가타리 화첩","세계","일본 - 에도","구3257","일본","공식 페이지에 전시위치 기재 · 행사일 재확인","22","펼쳐진 장면의 인물과 건물 배치를 관찰하고, 어떤 순간인지 상상해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=4488","https://www.museum.go.kr/relic_image//PS01001001/koo000/2019/0926142155314/700/koo003257-000-90030.jpg",""
"2조","1","대동여지도 목판","조선","한국 - 조선 1861년 무렵 (공식 설명 기준)","K번93","조선3","공식 페이지에 전시위치 기재 · 행사일 재확인","27","목판의 글씨 방향을 확인해 보세요. 종이에 찍으면 어떻게 보일지 상상해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2577","https://www.museum.go.kr/relic_image//PS01001001/kno000/2025/0424151727435/700/kno000093-000-00000.jpg",""
"2조","2","분청사기 박지 모란무늬 자라병","조선","한국 - 조선","덕수6231","도자공예-분청사기-백자","공식 페이지에 전시위치 기재 · 행사일 재확인","38","병의 정면과 옆면을 비교하고, 볼록한 부분과 납작한 부분을 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1475","https://www.museum.go.kr/relic_image//PS01001001/duk006/2017/0512090608004/700/duk006231-00-01.jpg",""
"2조","3","용비어천가","조선","한국 - 조선","신수17062","","공식 전시위치 미기재 · 행사일 확인 필요","45","책의 글자 배열을 살펴보고 오늘날 읽는 책과 다른 점을 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=47246","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2022/0404105918584/700/ssu017062-000-90000.jpg",""
"2조","4","분청사기 조화 모란 물고기무늬 장군","조선","한국 - 조선","동원201","도자공예-분청사기-백자","공식 페이지에 전시위치 기재 · 행사일 재확인","47","물고기와 모란을 찾아보세요. 표면을 긁어 만든 선의 느낌을 설명해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1742","https://www.museum.go.kr/relic_image//PS01001001/don000/2017/0510141225531/700/don000201-00-02.jpg",""
"2조","5","백자 끈무늬 병","조선","한국 - 조선","신수12074","도자공예-분청사기-백자","공식 페이지에 전시위치 기재 · 행사일 재확인","48","몸체를 두르는 끈무늬를 따라가 보고 매듭처럼 보이는 부분을 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2224","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2021/0203164642394/700/ssu012074-000-90000.jpg",""
"2조","6","나전 칠 연꽃 넝쿨 무늬 상자","조선","한국 - 조선","덕수4128","","공식 전시위치 미기재 · 행사일 확인 필요","7","상자 표면에서 빛에 따라 달라 보이는 자개와 이어지는 넝쿨을 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1332","https://www.museum.go.kr/relic_image//PS01001001/duk000/2019/0925183505138/700/duk004128-000-90000.jpg",""
"2조","7","서직수 초상","조선","한국 - 조선","덕수5688","","공식 전시위치 미기재 · 행사일 확인 필요","9","얼굴과 옷을 비교해 보세요. 인물의 성격을 짐작하게 하는 표현은 무엇인가요?","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1434","https://www.museum.go.kr/relic_image//PS01001001/duk005/2017/0512090608004/700/duk005688-00-01.jpg",""
"2조","8","국새 칙명지보","근대·대한제국","한국 - 대한제국","신수241","대한제국","공식 페이지에 전시위치 기재 · 행사일 재확인","3","도장 손잡이에서 용을 찾아보세요. 도장이 오늘날의 어떤 도구와 닮았는지 이야기해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1921","https://www.museum.go.kr/relic_image//PS01001001/ssu01/700/ssu00241 .jpg","CSV 3행의 링크는 아미타불을 가리켜 사용할 수 없음. 황제 인장 주제의 대표 유물로 칙명지보(신수241)를 선정. 원래 의도한 인장인지는 운영자 확인 필요."
"2조","9","백자 병","세계","중국 - 송","덕수3898","","공식 전시위치 미기재 · 행사일 확인 필요","31","입 부분과 어깨의 곡선을 비교해 보세요. 조선 백자와 구별되는 이 병의 출신도 확인하세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1305","https://www.museum.go.kr/relic_image//PS01001001/duk000/2019/0925181152214/700/duk003898-000-90000.jpg",""
"2조","10","서원화 벽화","세계","중앙아시아 · 투루판 (공식 설명 기준)","본관4049","","공식 전시위치 미기재 · 행사일 확인 필요","49","인물이 손에 든 꽃과 몸의 자세를 살펴보고, 어떤 마음을 담았을지 이야기해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=440","https://www.museum.go.kr/relic_image//PS01001001/bon004/2016/1124093013018/700/bon004049-000-0001.jpg",""
"2조","11","창조신 복희와 여와","세계","중앙아시아 · 투루판 (공식 설명 기준)","본관4178","","공식 전시위치 미기재 · 행사일 확인 필요","11","서로 마주 보는 두 인물을 살펴보고 그림에 남아 있는 부분과 사라진 부분을 구별해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=188707","https://www.museum.go.kr/relic_image//PS01001001/bon000/2019/0925132803080/700/bon004178-000-90000.jpg",""
"2조","12","청동 방울","선사·초기철기","한국 - 초기철기","신수1847","","공식 전시위치 미기재 · 행사일 확인 필요","41","방울의 모양을 비교하고, 어떤 장면에서 소리를 냈을지 상상해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1998","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2024/1220163229259/700/ssu001847-000-90000.jpg",""
"2조","13","잔무늬 거울 조각","선사·초기철기","한국 - 초기철기","신수10401","","공식 전시위치 미기재 · 행사일 확인 필요","42","거울 조각에 남은 가는 선의 방향과 반복되는 모양을 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2177","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2024/1220163521527/700/ssu010401-000-90000.jpg",""
"2조","14","주먹도끼","선사·초기철기","한국 - 구석기","신수19143","","공식 전시위치 미기재 · 행사일 확인 필요","1","돌의 양쪽 면과 가장자리를 살펴보고, 어떤 일에 썼을지 이야기해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2486","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2019/0925123406433/700/ssu019143-000-90000.jpg",""
"2조","15","농경문 청동기","선사·초기철기","한국 - 초기철기","신수1794","청동기","공식 페이지에 전시위치 기재 · 행사일 재확인","2","작은 청동기 안에서 사람과 새, 농사 장면을 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1991","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2019/0925104115642/700/ssu001794-000-90000.jpg",""
"2조","16","연꽃 짐승얼굴무늬 수막새","삼국·가야","한국 - 고구려","증1623","기증3","공식 페이지에 전시위치 기재 · 행사일 재확인","","짐승 얼굴의 눈·코·입을 살펴보고 가장 강렬한 표정을 골라보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=3027","https://www.museum.go.kr/relic_image//PS01001001/jng000/2021/0208132719937/700/jng001623-000-70000.jpg",""
"2조","17","산수무늬 벽돌","삼국·가야","한국 - 백제","본관13972","백제","공식 페이지에 전시위치 기재 · 행사일 재확인","43","산과 나무, 건물처럼 보이는 요소를 찾아 벽돌 속 풍경을 설명해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=856","https://www.museum.go.kr/relic_image//PS01001001/bon000/2023/0215102202251/700/bon013972-000-90100.jpg",""
"2조","18","사슴뿔모양 잔","삼국·가야","한국 - 가야","신수6700","가야","공식 페이지에 전시위치 기재 · 행사일 재확인","","잔의 가지가 뻗어나가는 모양을 살펴보고, 평범한 컵과 다른 점을 기록하세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2106","https://www.museum.go.kr/relic_image//PS01001001/ssu04/700/ssu06700.jpg",""
"2조","19","기마 인물형 토기","삼국·가야","한국 - 신라","본관9705","신라","공식 페이지에 전시위치 기재 · 행사일 재확인","12","말과 인물의 장식에서 가장 세밀하게 표현한 부분을 하나 골라보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=3802","https://www.museum.go.kr/relic_image//PS01001001/bon000/2019/0925140046553/700/bon009705-000-90000.jpg",""
"2조","20","금동반가사유상","삼국·가야","한국 - 삼국","덕수3200","불교조각","공식 페이지에 전시위치 기재 · 행사일 재확인","14","뺨에 댄 손과 다리의 자세를 살펴보세요. 다른 반가사유상과는 소장품번호로 구별하세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1248","https://www.museum.go.kr/relic_image//PS01001001/duk003/2017/0511150532094/700/duk003200-00-10.jpg","서로 다른 소장품번호의 반가사유상. 사유의 방 전시품이라고 단정하지 않으며, 현장 전시 여부 확인 필요."
"2조","21","금동미륵보살반가사유상","삼국·가야","한국 - 삼국","신수4165","","공식 전시위치 미기재 · 행사일 확인 필요","17","머리 장식과 옷주름을 살펴보세요. 덕수3200 반가사유상과 무엇이 다른가요?","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2073","https://www.museum.go.kr/relic_image//PS01001001/ssu03/700/ssu04165-00-10.jpg","서로 다른 소장품번호의 반가사유상. 사유의 방 전시품이라고 단정하지 않으며, 현장 전시 여부 확인 필요."
"2조","22","굵은 고리 금 귀걸이","삼국·가야","한국 - 신라","신수193","","공식 전시위치 미기재 · 행사일 확인 필요","32","큰 고리 아래 달린 장식이 몇 단계로 이어지는지 관찰해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=6055","https://www.museum.go.kr/relic_image//PS01001001/ssu000/2019/0925102710223/700/ssu000193-000-90000.jpg",""
"2조","23","감산사 석조미륵보살입상","통일신라","한국 - 통일신라","본관1958","불교조각","공식 페이지에 전시위치 기재 · 행사일 재확인","4","머리 장식과 몸의 장신구를 관찰하고 아미타불과 다른 점을 한 가지 기록하세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=348","https://www.museum.go.kr/relic_image//PS01001001/bon001/2016/1124093013018/700/bon001958-000-0001.jpg",""
"2조","24","감산사 석조아미타불입상","통일신라","한국 - 통일신라","본관1959","불교조각","공식 페이지에 전시위치 기재 · 행사일 재확인","5","옷주름이 흐르는 방향을 따라가 보세요. 돌로 만든 옷이 어떻게 느껴지나요?","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=349","https://www.museum.go.kr/relic_image//PS01001001/bon001/2017/0508160735009/700/bon001959-00-01.jpg",""
"2조","25","금동 약사불 입상","통일신라","한국 - 통일신라 (공식 설명 기준)","본관324","불교조각","공식 페이지에 전시위치 기재 · 행사일 재확인","30","부처가 손에 든 작은 약합을 찾아보고, 양손의 자세를 설명해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=335","https://www.museum.go.kr/relic_image//PS01001001/bon000/2019/0925124432236/700/bon000324-000-90000.jpg",""
"2조","26","몸에 지니는 작은 부처","고려","한국 - 고려","덕수6303","고려2","공식 페이지에 전시위치 기재 · 행사일 재확인","29","크기 정보를 확인하고, 이 작은 부처를 어디에 넣어 지녔을지 이야기해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1488","https://www.museum.go.kr/relic_image//PS01001001/duk006/2017/0512090608004/700/duk006303-00-00.jpg",""
"2조","27","청자 음각 연꽃 넝쿨무늬 매병","고려","한국 - 고려","덕수2656","","공식 전시위치 미기재 · 행사일 확인 필요","35","빛이 닿는 방향에 따라 보이는 음각선에서 연꽃과 넝쿨을 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1193","https://www.museum.go.kr/relic_image//PS01001001/duk002/2017/0511143434163/700/duk002656-00-00.jpg",""
"2조","28","청자 음각 국화 넝쿨무늬 대접","고려","한국 - 고려","증7203","","공식 전시위치 미기재 · 행사일 확인 필요","36","대접의 안쪽과 바깥쪽 중 무늬가 있는 곳을 찾아 선의 흐름을 관찰해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=41047","https://www.museum.go.kr/relic_image//PS01001001/jng007/2016/1028211223100/700/jng007203.jpg",""
"2조","29","청자 상감 모란무늬 항아리","고려","한국 - 고려","덕수6238","도자공예-청자","공식 페이지에 전시위치 기재 · 행사일 재확인","37","모란무늬와 바탕색을 비교하고 꽃의 배치가 만드는 리듬을 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1477","https://www.museum.go.kr/relic_image//PS01001001/duk006/2017/0512090608004/700/duk006238-00-00.jpg",""
"2조","30","십이지상(말)","고려","한국 - 고려","덕수5198","","공식 전시위치 미기재 · 행사일 확인 필요","44","작은 상의 머리와 몸을 따로 살펴보세요. 말과 사람의 모습이 어떻게 결합됐나요?","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1400","https://www.museum.go.kr/relic_image//PS01001001/duk005/2016/1123173124470/700/duk005198-000-0001.jpg",""
"3조","1","녹유전각","세계","중국 - 후한","구9370","중국","공식 페이지에 전시위치 기재 · 행사일 재확인","20","녹색 유약을 입힌 건물에서 지붕과 출입구를 찾아보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=31973","https://www.museum.go.kr/relic_image//PS01001001/koo000/2020/0115105403561/700/koo009370-000-90000.jpg",""
"3조","2","도사 미츠오키 필 겐지모노가타리 화첩","세계","일본 - 에도","구3257","일본","공식 페이지에 전시위치 기재 · 행사일 재확인","22","펼쳐진 장면의 인물과 건물 배치를 관찰하고, 어떤 순간인지 상상해 보세요.","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=4488","https://www.museum.go.kr/relic_image//PS01001001/koo000/2019/0926142155314/700/koo003257-000-90030.jpg",""
