"원본 행","원본 이름","반영 이름","소장품번호","분류","정정된 공식 링크","처리"
"17","금동미륵보살반가사유상","금동미륵보살반가사유상","신수4165","삼국·가야","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2073","일치"
"18","달항아리","백자 달항아리","접수702","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=941","동일 소장품번호로 병합"
"19","대동여지도","대동여지도","건희3946","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=36552143","일치"
"20","녹유전각","녹유전각","구9370","세계","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=31973","일치"
"21","청동 은입사 물가풍경무늬 정병","청동 은입사 물가풍경무늬 정병","본관2426","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=372","동일 소장품번호로 병합"
"22","도사 미츠오키 필 겐지모노가타리 화첩","도사 미츠오키 필 겐지모노가타리 화첩","구3257","세계","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=4488","일치"
"23","청자 투각 연꽃 넝쿨 무늬 붓꽂이","청자 투각 연꽃 넝쿨 무늬 붓꽂이","덕수1167","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=7153","일치"
"24","분청사기 상감 구름 용무늬 항아리","분청사기 상감 구름 용무늬 항아리","덕수2411","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1160","동일 소장품번호로 병합"
"25","백자 청화 구름 용무늬 접시","백자 청화 구름 용무늬 접시","동원103","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=8839","일치"
"26","봉사조선창화시권","봉사조선창화시권","신수14149","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2318","일치"
"27","대동여지도 목판","대동여지도 목판","K번93","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2577","일치"
"28","태자사 낭공대사 비석","태자사 낭공대사 비석","본관6754","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=4360","일치"
"29","몸에 지니는 작은 부처","몸에 지니는 작은 부처","덕수6303","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1488","일치"
"30","금동 약사불 입상","금동 약사불 입상","본관324","통일신라","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=335","일치"
"31","백자 병","백자 병","덕수3898","세계","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1305","일치"
"32","굵은 고리 금 귀걸이","굵은 고리 금 귀걸이","신수193","삼국·가야","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=6055","일치"
"33","북한산 신라 진흥왕 순수비","북한산 신라 진흥왕 순수비","신수18242","삼국·가야","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2483","일치"
"34","청동 은입사 물가풍경무늬 정병","청동 은입사 물가풍경무늬 정병","본관2426","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=372","동일 소장품번호로 병합"
"35","청자 음각 연꽃 넝쿨무늬 매병","청자 음각 연꽃 넝쿨무늬 매병","덕수2656","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1193","일치"
"36","청자 음각 국화 넝쿨무늬 대접","청자 음각 국화 넝쿨무늬 대접","증7203","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=41047","일치"
"37","청자 모란무늬 항아리","청자 상감 모란무늬 항아리","덕수6238","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1477","공식 명칭으로 정리"
"38","분청사기 박지 철채 모란무늬 자라병","분청사기 박지 모란무늬 자라병","덕수6231","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1475","공식 명칭으로 정리"
"39","백자 달항아리","백자 달항아리","접수702","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=941","동일 소장품번호로 병합"
"40","한국식 동검","한국식 동검","신수1844","선사·초기철기","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1996","일치"
"41","청동 방울","청동 방울","신수1847","선사·초기철기","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1998","일치"
"42","잔무늬 거울 조각","잔무늬 거울 조각","신수10401","선사·초기철기","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2177","일치"
"43","산수무늬벽돌","산수무늬 벽돌","본관13972","삼국·가야","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=856","공식 명칭으로 정리"
"44","십이지상","십이지상(말)","덕수5198","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1400","공식 명칭으로 정리"
"45","용비어천가","용비어천가","신수17062","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=47246","일치"
"46","청자 상감 모란무늬 매병","청자 상감 모란무늬 매병","덕수434","고려","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=974","일치"
"47","분청사기 조화 물고기무늬 장군","분청사기 조화 모란 물고기무늬 장군","동원201","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=1742","공식 명칭으로 정리"
"48","백자 끈무늬 병","백자 끈무늬 병","신수12074","조선","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=2224","일치"
"49","서원화 벽화","서원화 벽화","본관4049","세계","https://www.museum.go.kr/MUSEUM/contents/M0502000000.do?schM=view&searchId=search&relicId=440","일치"
